Job démarré sur gnode4 à Wed Feb 11 12:30:26 CET 2026
Run main_expe
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p005__ds0p01__dm0p01
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p005__ds0p15__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-199.820007 | runtime=1.72s
  -> run QUBO_dim64_t1
     avg_score=-147.940002 | runtime=1.63s
  -> run QUBO_dim64_t2
     avg_score=-139.800003 | runtime=1.73s
  -> run QUBO_dim64_t3
     avg_score=-413.739990 | runtime=1.70s
  -> run QUBO_dim64_t4
     avg_score=-328.299988 | runtime=1.67s
  -> run QUBO_dim64_t5
     avg_score=-308.859985 | runtime=1.49s
  -> run QUBO_dim128_t0
     avg_score=-578.159973 | runtime=1.62s
  -> run QUBO_dim128_t1
     avg_score=-440.220001 | runtime=1.75s
  -> run QUBO_dim128_t2
     avg_score=-430.200012 | runtime=1.78s
  -> run QUBO_dim128_t3
     avg_score=-1193.800049 | runtime=1.71s
  -> run QUBO_dim128_t4
     avg_score=-937.460022 | runtime=1.84s
  -> run QUBO_dim128_t5
     avg_score=-904.859985 | runtime=1.60s
  -> run QUBO_dim256_t0
     avg_score=-1589.040039 | runtime=1.75s
  -> run QUBO_dim256_t1
     avg_score=-1271.619995 | runtime=1.95s
  -> run QUBO_dim256_t2
     avg_score=-1212.719971 | runtime=1.73s
  -> run QUBO_dim256_t3
     avg_score=-3235.620117 | runtime=1.95s
  -> run QUBO_dim256_t4
     avg_score=-2565.100098 | runtime=1.72s
  -> run QUBO_dim256_t5
     avg_score=-2508.139893 | runtime=1.77s
  -> run NK_dim128_t1
     avg_score=0.710419 | runtime=1.78s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737163 | runtime=1.73s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.758028 | runtime=1.82s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.731053 | runtime=1.96s
  -> run NK_dim256_t1
     avg_score=0.707756 | runtime=1.90s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.735545 | runtime=1.94s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.745656 | runtime=1.89s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.702904 | runtime=2.45s
  -> run NK_dim64_t1
     avg_score=0.711719 | runtime=1.59s
  -> run NK_dim64_t2
     avg_score=0.744533 | runtime=1.46s
  -> run NK_dim64_t4
     avg_score=0.754020 | runtime=1.57s
  -> run NK_dim64_t8
     avg_score=0.742887 | runtime=1.68s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p005__ds0p15__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-199.940002 | runtime=1.58s
  -> run QUBO_dim64_t1
     avg_score=-148.580002 | runtime=1.58s
  -> run QUBO_dim64_t2
     avg_score=-138.960007 | runtime=1.56s
  -> run QUBO_dim64_t3
     avg_score=-420.660004 | runtime=1.59s
  -> run QUBO_dim64_t4
     avg_score=-329.140015 | runtime=1.54s
  -> run QUBO_dim64_t5
     avg_score=-306.899994 | runtime=1.59s
  -> run QUBO_dim128_t0
     avg_score=-577.719971 | runtime=1.58s
  -> run QUBO_dim128_t1
     avg_score=-444.079987 | runtime=1.60s
  -> run QUBO_dim128_t2
     avg_score=-420.480011 | runtime=1.63s
  -> run QUBO_dim128_t3
     avg_score=-1193.920044 | runtime=1.63s
  -> run QUBO_dim128_t4
     avg_score=-934.739990 | runtime=1.60s
  -> run QUBO_dim128_t5
     avg_score=-904.820007 | runtime=1.56s
  -> run QUBO_dim256_t0
     avg_score=-1567.800049 | runtime=1.78s
  -> run QUBO_dim256_t1
     avg_score=-1268.680054 | runtime=1.77s
  -> run QUBO_dim256_t2
     avg_score=-1202.119995 | runtime=1.68s
  -> run QUBO_dim256_t3
     avg_score=-3182.840088 | runtime=1.71s
  -> run QUBO_dim256_t4
     avg_score=-2539.159912 | runtime=1.75s
  -> run QUBO_dim256_t5
     avg_score=-2478.159912 | runtime=1.74s
  -> run NK_dim128_t1
     avg_score=0.710348 | runtime=1.47s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737535 | runtime=1.61s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.756857 | runtime=1.47s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.716097 | runtime=1.82s
  -> run NK_dim256_t1
     avg_score=0.707106 | runtime=1.89s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.732991 | runtime=1.75s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.739628 | runtime=1.99s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.662448 | runtime=2.40s
  -> run NK_dim64_t1
     avg_score=0.711928 | runtime=1.57s
     -> TOP 1
  -> run NK_dim64_t2
     avg_score=0.744157 | runtime=1.61s
  -> run NK_dim64_t4
     avg_score=0.753387 | runtime=1.62s
  -> run NK_dim64_t8
     avg_score=0.739212 | runtime=1.71s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p005__ds0p3__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-202.080002 | runtime=1.67s
  -> run QUBO_dim64_t1
     avg_score=-147.320007 | runtime=1.73s
  -> run QUBO_dim64_t2
     avg_score=-138.880005 | runtime=1.67s
  -> run QUBO_dim64_t3
     avg_score=-415.779999 | runtime=1.71s
  -> run QUBO_dim64_t4
     avg_score=-329.660004 | runtime=1.72s
  -> run QUBO_dim64_t5
     avg_score=-309.540009 | runtime=1.72s
  -> run QUBO_dim128_t0
     avg_score=-579.179993 | runtime=1.69s
  -> run QUBO_dim128_t1
     avg_score=-440.320007 | runtime=1.73s
  -> run QUBO_dim128_t2
     avg_score=-427.700012 | runtime=1.58s
  -> run QUBO_dim128_t3
     avg_score=-1189.839966 | runtime=1.78s
  -> run QUBO_dim128_t4
     avg_score=-926.539978 | runtime=1.76s
  -> run QUBO_dim128_t5
     avg_score=-907.559998 | runtime=1.74s
  -> run QUBO_dim256_t0
     avg_score=-1585.040039 | runtime=1.93s
  -> run QUBO_dim256_t1
     avg_score=-1274.280029 | runtime=1.86s
  -> run QUBO_dim256_t2
     avg_score=-1211.739990 | runtime=1.81s
  -> run QUBO_dim256_t3
     avg_score=-3204.139893 | runtime=1.92s
  -> run QUBO_dim256_t4
     avg_score=-2563.699951 | runtime=1.93s
  -> run QUBO_dim256_t5
     avg_score=-2485.760010 | runtime=1.85s
  -> run NK_dim128_t1
     avg_score=0.710561 | runtime=1.60s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737427 | runtime=1.65s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.758448 | runtime=1.62s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.727371 | runtime=1.93s
  -> run NK_dim256_t1
     avg_score=0.707507 | runtime=2.02s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.735267 | runtime=2.06s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.743481 | runtime=1.94s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.691583 | runtime=2.50s
  -> run NK_dim64_t1
     avg_score=0.711683 | runtime=1.68s
  -> run NK_dim64_t2
     avg_score=0.743591 | runtime=1.67s
  -> run NK_dim64_t4
     avg_score=0.752287 | runtime=1.70s
  -> run NK_dim64_t8
     avg_score=0.742846 | runtime=1.70s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p005__ds0p3__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-199.960007 | runtime=1.69s
  -> run QUBO_dim64_t1
     avg_score=-147.779999 | runtime=1.69s
  -> run QUBO_dim64_t2
     avg_score=-139.039993 | runtime=1.74s
  -> run QUBO_dim64_t3
     avg_score=-415.420013 | runtime=1.79s
  -> run QUBO_dim64_t4
     avg_score=-329.679993 | runtime=1.78s
  -> run QUBO_dim64_t5
     avg_score=-309.059998 | runtime=1.77s
  -> run QUBO_dim128_t0
     avg_score=-579.859985 | runtime=1.77s
  -> run QUBO_dim128_t1
     avg_score=-441.980011 | runtime=1.69s
  -> run QUBO_dim128_t2
     avg_score=-426.339996 | runtime=1.63s
  -> run QUBO_dim128_t3
     avg_score=-1184.219971 | runtime=1.51s
  -> run QUBO_dim128_t4
     avg_score=-925.419983 | runtime=1.67s
  -> run QUBO_dim128_t5
     avg_score=-901.380005 | runtime=1.51s
  -> run QUBO_dim256_t0
     avg_score=-1551.319946 | runtime=1.71s
  -> run QUBO_dim256_t1
     avg_score=-1268.380005 | runtime=1.80s
  -> run QUBO_dim256_t2
     avg_score=-1186.420044 | runtime=1.73s
  -> run QUBO_dim256_t3
     avg_score=-3134.520020 | runtime=1.80s
  -> run QUBO_dim256_t4
     avg_score=-2542.600098 | runtime=1.71s
  -> run QUBO_dim256_t5
     avg_score=-2418.379883 | runtime=1.81s
  -> run NK_dim128_t1
     avg_score=0.710381 | runtime=1.43s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737678 | runtime=1.64s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.755782 | runtime=1.37s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.712335 | runtime=1.81s
  -> run NK_dim256_t1
     avg_score=0.706908 | runtime=1.83s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.732677 | runtime=1.77s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.736550 | runtime=2.13s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.652253 | runtime=2.24s
  -> run NK_dim64_t1
     avg_score=0.711294 | runtime=1.33s
  -> run NK_dim64_t2
     avg_score=0.744248 | runtime=1.33s
  -> run NK_dim64_t4
     avg_score=0.754027 | runtime=1.34s
  -> run NK_dim64_t8
     avg_score=0.740995 | runtime=1.46s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p007__ds0p01__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-200.679993 | runtime=1.33s
  -> run QUBO_dim64_t1
     avg_score=-149.259995 | runtime=1.33s
  -> run QUBO_dim64_t2
     avg_score=-139.660004 | runtime=1.33s
  -> run QUBO_dim64_t3
     avg_score=-416.420013 | runtime=1.33s
  -> run QUBO_dim64_t4
     avg_score=-332.380005 | runtime=1.33s
  -> run QUBO_dim64_t5
     avg_score=-310.679993 | runtime=1.34s
  -> run QUBO_dim128_t0
     avg_score=-580.340027 | runtime=1.36s
  -> run QUBO_dim128_t1
     avg_score=-439.059998 | runtime=1.36s
  -> run QUBO_dim128_t2
     avg_score=-430.799988 | runtime=1.36s
  -> run QUBO_dim128_t3
     avg_score=-1189.459961 | runtime=1.36s
  -> run QUBO_dim128_t4
     avg_score=-935.859985 | runtime=1.36s
  -> run QUBO_dim128_t5
     avg_score=-901.340027 | runtime=1.36s
  -> run QUBO_dim256_t0
     avg_score=-1594.119995 | runtime=1.53s
  -> run QUBO_dim256_t1
     avg_score=-1273.599976 | runtime=1.52s
  -> run QUBO_dim256_t2
     avg_score=-1212.680054 | runtime=1.52s
  -> run QUBO_dim256_t3
     avg_score=-3211.159912 | runtime=1.53s
  -> run QUBO_dim256_t4
     avg_score=-2566.360107 | runtime=1.52s
  -> run QUBO_dim256_t5
     avg_score=-2497.219971 | runtime=1.53s
  -> run NK_dim128_t1
     avg_score=0.710696 | runtime=1.34s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737642 | runtime=1.34s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.758967 | runtime=1.37s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.726587 | runtime=1.62s
  -> run NK_dim256_t1
     avg_score=0.707684 | runtime=1.61s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.735200 | runtime=1.63s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.744611 | runtime=1.70s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.689409 | runtime=2.23s
  -> run NK_dim64_t1
     avg_score=0.711778 | runtime=1.33s
  -> run NK_dim64_t2
     avg_score=0.743898 | runtime=1.33s
  -> run NK_dim64_t4
     avg_score=0.754170 | runtime=1.34s
  -> run NK_dim64_t8
     avg_score=0.739950 | runtime=1.46s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p007__ds0p01__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-201.339996 | runtime=1.34s
  -> run QUBO_dim64_t1
     avg_score=-148.279999 | runtime=1.34s
  -> run QUBO_dim64_t2
     avg_score=-139.220001 | runtime=1.34s
  -> run QUBO_dim64_t3
     avg_score=-418.679993 | runtime=1.33s
  -> run QUBO_dim64_t4
     avg_score=-332.720001 | runtime=1.34s
  -> run QUBO_dim64_t5
     avg_score=-308.600006 | runtime=1.34s
  -> run QUBO_dim128_t0
     avg_score=-569.659973 | runtime=1.37s
  -> run QUBO_dim128_t1
     avg_score=-440.820007 | runtime=1.36s
  -> run QUBO_dim128_t2
     avg_score=-424.179993 | runtime=1.36s
  -> run QUBO_dim128_t3
     avg_score=-1172.020020 | runtime=1.37s
  -> run QUBO_dim128_t4
     avg_score=-921.700012 | runtime=1.36s
  -> run QUBO_dim128_t5
     avg_score=-895.039978 | runtime=1.36s
  -> run QUBO_dim256_t0
     avg_score=-1508.939941 | runtime=1.53s
  -> run QUBO_dim256_t1
     avg_score=-1250.660034 | runtime=1.53s
  -> run QUBO_dim256_t2
     avg_score=-1148.739990 | runtime=1.53s
  -> run QUBO_dim256_t3
     avg_score=-3035.379883 | runtime=1.53s
  -> run QUBO_dim256_t4
     avg_score=-2508.340088 | runtime=1.53s
  -> run QUBO_dim256_t5
     avg_score=-2366.219971 | runtime=1.53s
  -> run NK_dim128_t1
     avg_score=0.710713 | runtime=1.35s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737749 | runtime=1.35s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.755560 | runtime=1.37s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.682973 | runtime=1.62s
  -> run NK_dim256_t1
     avg_score=0.706198 | runtime=1.62s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.730065 | runtime=1.63s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.726970 | runtime=1.70s
  -> run NK_dim256_t8
     avg_score=0.617411 | runtime=2.24s
  -> run NK_dim64_t1
     avg_score=0.711952 | runtime=1.34s
     -> TOP 1
  -> run NK_dim64_t2
     avg_score=0.745179 | runtime=1.34s
  -> run NK_dim64_t4
     avg_score=0.752694 | runtime=1.35s
  -> run NK_dim64_t8
     avg_score=0.735321 | runtime=1.46s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p007__ds0p15__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-199.800003 | runtime=1.34s
  -> run QUBO_dim64_t1
     avg_score=-148.100006 | runtime=1.34s
  -> run QUBO_dim64_t2
     avg_score=-140.320007 | runtime=1.34s
  -> run QUBO_dim64_t3
     avg_score=-414.700012 | runtime=1.34s
  -> run QUBO_dim64_t4
     avg_score=-327.799988 | runtime=1.33s
  -> run QUBO_dim64_t5
     avg_score=-309.359985 | runtime=1.34s
  -> run QUBO_dim128_t0
     avg_score=-583.020020 | runtime=1.36s
  -> run QUBO_dim128_t1
     avg_score=-441.480011 | runtime=1.36s
  -> run QUBO_dim128_t2
     avg_score=-428.459991 | runtime=1.36s
  -> run QUBO_dim128_t3
     avg_score=-1192.280029 | runtime=1.37s
  -> run QUBO_dim128_t4
     avg_score=-924.979980 | runtime=1.37s
  -> run QUBO_dim128_t5
     avg_score=-912.760010 | runtime=1.37s
  -> run QUBO_dim256_t0
     avg_score=-1569.140015 | runtime=1.53s
  -> run QUBO_dim256_t1
     avg_score=-1256.140015 | runtime=1.53s
  -> run QUBO_dim256_t2
     avg_score=-1191.900024 | runtime=1.53s
  -> run QUBO_dim256_t3
     avg_score=-3198.260010 | runtime=1.54s
  -> run QUBO_dim256_t4
     avg_score=-2550.639893 | runtime=1.53s
  -> run QUBO_dim256_t5
     avg_score=-2481.979980 | runtime=1.53s
  -> run NK_dim128_t1
     avg_score=0.710784 | runtime=1.35s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737606 | runtime=1.35s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.757611 | runtime=1.37s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.723675 | runtime=1.62s
  -> run NK_dim256_t1
     avg_score=0.707496 | runtime=1.62s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.734671 | runtime=1.63s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.743481 | runtime=1.70s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.679910 | runtime=2.24s
  -> run NK_dim64_t1
     avg_score=0.711753 | runtime=1.34s
  -> run NK_dim64_t2
     avg_score=0.744704 | runtime=1.34s
  -> run NK_dim64_t4
     avg_score=0.753954 | runtime=1.35s
  -> run NK_dim64_t8
     avg_score=0.736673 | runtime=1.46s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p007__ds0p15__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-200.360001 | runtime=1.34s
  -> run QUBO_dim64_t1
     avg_score=-149.339996 | runtime=1.34s
  -> run QUBO_dim64_t2
     avg_score=-139.699997 | runtime=1.34s
  -> run QUBO_dim64_t3
     avg_score=-417.459991 | runtime=1.34s
  -> run QUBO_dim64_t4
     avg_score=-332.339996 | runtime=1.34s
  -> run QUBO_dim64_t5
     avg_score=-307.940002 | runtime=1.34s
  -> run QUBO_dim128_t0
     avg_score=-566.000000 | runtime=1.37s
  -> run QUBO_dim128_t1
     avg_score=-435.579987 | runtime=1.36s
  -> run QUBO_dim128_t2
     avg_score=-422.220001 | runtime=1.37s
  -> run QUBO_dim128_t3
     avg_score=-1171.260010 | runtime=1.37s
  -> run QUBO_dim128_t4
     avg_score=-937.659973 | runtime=1.37s
  -> run QUBO_dim128_t5
     avg_score=-884.979980 | runtime=1.37s
  -> run QUBO_dim256_t0
     avg_score=-1486.780029 | runtime=1.54s
  -> run QUBO_dim256_t1
     avg_score=-1237.800049 | runtime=1.53s
  -> run QUBO_dim256_t2
     avg_score=-1138.640015 | runtime=1.53s
  -> run QUBO_dim256_t3
     avg_score=-3036.060059 | runtime=1.54s
  -> run QUBO_dim256_t4
     avg_score=-2490.179932 | runtime=1.54s
  -> run QUBO_dim256_t5
     avg_score=-2341.719971 | runtime=1.53s
  -> run NK_dim128_t1
     avg_score=0.710584 | runtime=1.35s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737178 | runtime=1.35s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.754899 | runtime=1.37s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.677090 | runtime=1.63s
  -> run NK_dim256_t1
     avg_score=0.705678 | runtime=1.62s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.728211 | runtime=1.64s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.723277 | runtime=1.70s
  -> run NK_dim256_t8
     avg_score=0.606652 | runtime=2.23s
  -> run NK_dim64_t1
     avg_score=0.711748 | runtime=1.34s
  -> run NK_dim64_t2
     avg_score=0.744462 | runtime=1.34s
  -> run NK_dim64_t4
     avg_score=0.753641 | runtime=1.35s
  -> run NK_dim64_t8
     avg_score=0.733146 | runtime=1.46s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p007__ds0p3__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-199.919998 | runtime=1.34s
  -> run QUBO_dim64_t1
     avg_score=-149.600006 | runtime=1.34s
  -> run QUBO_dim64_t2
     avg_score=-139.800003 | runtime=1.34s
  -> run QUBO_dim64_t3
     avg_score=-416.559998 | runtime=1.34s
  -> run QUBO_dim64_t4
     avg_score=-331.799988 | runtime=1.34s
  -> run QUBO_dim64_t5
     avg_score=-310.339996 | runtime=1.34s
  -> run QUBO_dim128_t0
     avg_score=-575.000000 | runtime=1.37s
  -> run QUBO_dim128_t1
     avg_score=-441.920013 | runtime=1.37s
  -> run QUBO_dim128_t2
     avg_score=-428.799988 | runtime=1.37s
  -> run QUBO_dim128_t3
     avg_score=-1182.119995 | runtime=1.37s
  -> run QUBO_dim128_t4
     avg_score=-926.919983 | runtime=1.36s
  -> run QUBO_dim128_t5
     avg_score=-905.659973 | runtime=1.37s
  -> run QUBO_dim256_t0
     avg_score=-1574.300049 | runtime=1.53s
  -> run QUBO_dim256_t1
     avg_score=-1252.540039 | runtime=1.53s
  -> run QUBO_dim256_t2
     avg_score=-1190.619995 | runtime=1.53s
  -> run QUBO_dim256_t3
     avg_score=-3141.919922 | runtime=1.54s
  -> run QUBO_dim256_t4
     avg_score=-2536.379883 | runtime=1.53s
  -> run QUBO_dim256_t5
     avg_score=-2467.020020 | runtime=1.53s
  -> run NK_dim128_t1
     avg_score=0.710840 | runtime=1.35s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737186 | runtime=1.35s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.757039 | runtime=1.37s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.717640 | runtime=1.62s
  -> run NK_dim256_t1
     avg_score=0.707064 | runtime=1.62s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.733195 | runtime=1.64s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.738827 | runtime=1.70s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.662514 | runtime=2.23s
  -> run NK_dim64_t1
     avg_score=0.711745 | runtime=1.34s
  -> run NK_dim64_t2
     avg_score=0.745375 | runtime=1.38s
  -> run NK_dim64_t4
     avg_score=0.753974 | runtime=1.35s
  -> run NK_dim64_t8
     avg_score=0.739792 | runtime=1.46s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p007__ds0p3__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-201.639999 | runtime=1.34s
  -> run QUBO_dim64_t1
     avg_score=-148.600006 | runtime=1.34s
  -> run QUBO_dim64_t2
     avg_score=-139.740005 | runtime=1.34s
  -> run QUBO_dim64_t3
     avg_score=-417.660004 | runtime=1.35s
  -> run QUBO_dim64_t4
     avg_score=-332.019989 | runtime=1.34s
  -> run QUBO_dim64_t5
     avg_score=-309.260010 | runtime=1.35s
  -> run QUBO_dim128_t0
     avg_score=-570.859985 | runtime=1.37s
  -> run QUBO_dim128_t1
     avg_score=-436.500000 | runtime=1.37s
  -> run QUBO_dim128_t2
     avg_score=-421.179993 | runtime=1.37s
  -> run QUBO_dim128_t3
     avg_score=-1166.520020 | runtime=1.37s
  -> run QUBO_dim128_t4
     avg_score=-929.659973 | runtime=1.37s
  -> run QUBO_dim128_t5
